Timestamp,Iterations,Algorithm,ExperimentID,Total J Expended,Duration,J/1000 keygens,secs/1000 keygens

2025-04-25T16:37:13.900192,10000,EC -pkeyopt ec_paramgen_curve:secp160r1,20250425163615-EC -pkeyopt ec_paramgen_curve:secp160r1-10000,280.80,56.1,28.080,5.611
2025-04-25T16:38:31.188479,10000,EC -pkeyopt ec_paramgen_curve:secp224r1,20250425163729-EC -pkeyopt ec_paramgen_curve:secp224r1-10000,295.20,59.1,29.520,5.911
2025-04-25T16:39:28.115812,10000,NULL,20250425163846-NULL-10000,158.40,38.6,15.840,3.857
2025-04-25T16:40:44.029503,10000,EC -pkeyopt ec_paramgen_curve:secp160r1,20250425163945-EC -pkeyopt ec_paramgen_curve:secp160r1-10000,280.80,56.1,28.080,5.609
2025-04-25T16:42:01.311323,10000,EC -pkeyopt ec_paramgen_curve:secp224r1,20250425164059-EC -pkeyopt ec_paramgen_curve:secp224r1-10000,288.00,59.1,28.800,5.911
2025-04-25T16:43:09.951941,10000,NULL,20250425164217-NULL-10000,201.60,50.1,20.160,5.009
2025-04-25T16:44:18.068167,10000,NULLNoLoop,20250425164325-NULLNoLoop-10000,198.00,49.6,19.800,4.958
2025-04-25T16:45:29.684640,10000,EC -pkeyopt ec_paramgen_curve:P-256,20250425164433-EC -pkeyopt ec_paramgen_curve:P-256-10000,270.00,53.1,27.000,5.310
2025-04-25T16:47:02.556957,10000,EC -pkeyopt ec_paramgen_curve:P-384,20250425164545-EC -pkeyopt ec_paramgen_curve:P-384-10000,360.00,74.6,36.000,7.463
2025-04-25T16:48:11.070927,10000,NULL,20250425164718-NULL-10000,201.60,50.1,20.160,5.008
2025-04-25T16:50:22.308801,10000,EC -pkeyopt ec_paramgen_curve:P-521,20250425164826-EC -pkeyopt ec_paramgen_curve:P-521-10000,532.80,112.7,53.280,11.270
2025-04-25T16:51:36.413181,10000,ML-DSA-44,20250425165038-ML-DSA-44-10000,277.20,55.6,27.720,5.560
2025-04-25T16:52:44.777121,10000,NULL,20250425165151-NULL-10000,198.00,50.1,19.800,5.010
2025-04-25T16:54:00.409453,10000,ML-DSA-65,20250425165300-ML-DSA-65-10000,280.80,57.1,28.080,5.710
2025-04-25T16:55:17.313139,10000,ML-DSA-87,20250425165415-ML-DSA-87-10000,291.60,58.6,29.160,5.861
2025-04-25T16:56:25.845982,10000,NULL,20250425165533-NULL-10000,208.80,50.1,20.880,5.009
2025-04-25T16:57:38.485332,10000,ML-KEM-512,20250425165641-ML-KEM-512-10000,270.00,54.1,27.000,5.410
2025-04-25T16:58:50.755235,10000,ML-KEM-768,20250425165753-ML-KEM-768-10000,270.00,54.1,27.000,5.411
2025-04-25T16:59:59.211034,10000,NULL,20250425165906-NULL-10000,201.60,50.1,20.160,5.009
2025-04-25T17:01:12.363431,10000,ML-KEM-1024,20250425170015-ML-KEM-1024-10000,270.00,54.6,27.000,5.460
2025-04-25T17:02:22.704781,1000,RSA -pkeyopt rsa_keygen_bits:1024,20250425170127-RSA -pkeyopt rsa_keygen_bits:1024-1000,234.00,52.1,234.000,52.114
2025-04-25T17:03:30.898935,10000,NULL,20250425170238-NULL-10000,194.40,50.1,19.440,5.009
2025-04-25T17:04:29.005491,200,RSA -pkeyopt rsa_keygen_bits:1536,20250425170346-RSA -pkeyopt rsa_keygen_bits:1536-200,180.00,39.6,900.000,197.882
2025-04-25T17:05:40.425639,200,RSA -pkeyopt rsa_keygen_bits:2048,20250425170444-RSA -pkeyopt rsa_keygen_bits:2048-200,237.60,53.2,1188.000,265.905
2025-04-25T17:06:48.715403,10000,NULL,20250425170555-NULL-10000,194.40,50.1,19.440,5.010
2025-04-25T17:07:52.313829,50,RSA -pkeyopt rsa_keygen_bits:3072,20250425170704-RSA -pkeyopt rsa_keygen_bits:3072-50,198.00,45.1,3960.000,901.455
2025-04-25T17:09:06.102477,20,RSA -pkeyopt rsa_keygen_bits:4096,20250425170807-RSA -pkeyopt rsa_keygen_bits:4096-20,241.20,55.6,12060.000,2780.446

2025-04-25T18:16:34.821016,100000,EC -pkeyopt ec_paramgen_curve:secp160r1,20250425180709-EC -pkeyopt ec_paramgen_curve:secp160r1-100000,2703.60,562.1,27.036,5.621
